#Messung der Brechung am Prisma Aufgabe 4
#Einfallswinkel Ausfallswinkel Laser Grün Ausfallswinkel Laser Rot in Grad
30  82    84
35  73.5  74.5
39  60    60.7
46  48    49.5
60  42    43
