#Flussgeschwindigkeit[rpm]  Frequenz[1/s] für 15°, 30°, 45°
6000   -73    85    -146
6500   -73    98    -159
7000   -73    110   -183
7500   -98    122   -220
8000   -98    159   -269
8500   -110   195   -330
