# Zählrohrstrom eines Geigermüllerzählrohrs
#
# U [V] N[Imp]   I [mu A]
350 	9837    0.3
400	    9995    0.4
450	    10264   0.7
500	    10151   0.8
550	    10184   1.0
600	    10253   1.3
650	    10493   1.4
700	    11547   1.8
