1	    25.61	25.86	26.39	25.82	25.04	25.35	26.69	27.65
2	    25.61	25.87	26.40	25.82	25.05	25.37	26.69	27.65
3	    25.62	25.88	26.41	25.84	25.06	25.38	26.70	27.65
4	    25.62	25.88	26.42	25.84	25.07	25.40	26.71	27.64
5	    25.63	25.89	26.43	25.84	25.07	25.40	26.72	27.64
6	    25.62	25.90	26.44	25.85	25.08	25.42	26.72	27.65
7	    25.63	25.91	26.45	25.85	25.10	25.43	26.74	27.64
8	    25.63	25.92	26.46	25.85	25.10	25.45	26.74	27.64
9	    25.64	25.93	26.47	25.86	25.12	25.46	26.75	27.64
10	    25.65	25.94	26.49	25.87	25.12	25.47	26.75	27.64
11	    25.65	25.95	26.49	25.87	25.14	25.49	26.77	27.64
12	    25.65	25.96	26.50	25.88	25.15	25.50	26.77	27.63
13	    25.66	25.96	26.51	25.88	25.16	25.51	26.78	27.63
14	    25.66	25.98	26.53	25.89	25.17	25.53	26.78	27.63
15	    25.66	25.99	26.53	25.89	25.18	25.54	26.80	27.62
16	    25.67	26.00	26.54	25.90	25.18	25.55	26.80	27.62
17	    25.67	26.01	26.55	25.91	25.19	25.57	26.80	27.62
18	    25.69	26.02	26.56	25.92	25.20	25.58	26.81	27.62
19	    25.68	26.03	26.58	25.92	25.22	25.59	26.82	27.62
20	    25.69	26.04	26.59	25.93	25.22	25.60	26.83	27.61
21	    25.69	26.05	26.60	25.93	25.23	25.62	26.85	27.62
22	    25.69	26.05	26.61	25.93	25.25	25.63	26.85	27.61
23	    25.70	26.05	26.62	25.94	25.25	25.64	26.85	27.61
24	    25.70	26.06	26.63	25.95	25.26	25.66	26.87	27.61
25	    25.70	26.07	26.64	25.95	25.28	25.66	26.88	27.60
26	    25.71	26.09	26.65	25.96	25.28	25.68	26.88	27.60
27	    25.71	26.10	26.67	25.96	25.30	25.69	26.89	27.60
28	    25.72	26.11	26.68	25.97	25.31	25.71	26.90	27.60
29	    25.72	26.12	26.69	25.98	25.31	25.72	26.91	27.60
30	    25.72	26.13	26.71	25.99	25.33	25.73	26.92	27.59
31	    25.73	26.13	26.72	25.99	25.34	25.75	26.94	27.60
32	    25.74	26.15	26.73	26.00	25.35	25.77	26.93	27.59
33	    25.74	26.16	26.75	26.00	25.36	25.78	26.95	27.60
34	    25.75	26.17	26.76	26.01	25.37	25.79	26.96	27.60
35	    25.75	26.18	26.78	26.01	25.38	25.80	26.96	27.59
36	    25.76	26.19	26.79	26.02	25.40	25.82	26.98	27.59
37	    25.77	26.20	26.80	26.03	25.40	25.83	26.98	27.59
38	    25.77	26.21	26.82	26.04	25.42	25.85	26.99	27.59
39	    25.77	26.22	26.83	26.04	25.42	25.86	27.00	27.59
40	    25.77	26.23	26.84	26.05	25.44	25.87	27.01	27.59
41	    25.78	26.24	26.85	26.06	25.45	25.89	27.02	27.59
42	    25.79	26.24	26.87	26.06	25.46	25.90	27.03	27.58
43	    25.80	26.26	26.87	26.07	25.47	25.91	27.04	27.59
44	    25.80	26.27	26.88	26.08	25.48	25.92	27.05	27.58
45	    25.80	26.28	26.89	26.09	25.50	25.94	27.05	27.58
46	    25.81	26.29	26.91	26.09	25.50	25.94	27.06	27.58
47	    25.81	26.29	26.91	26.10	25.51	25.96	27.07	27.58
48	    25.82	26.30	26.92	26.11	25.53	25.97	27.07	27.58
49	    25.82	26.31	26.94	26.11	25.54	25.98	27.09	27.58
50	    25.82	26.32	26.95	26.12	25.55	26.00	27.09	27.57
51	    25.83	26.33	26.96	26.13	25.56	26.01	27.10	27.57
52	    25.83	26.34	26.97	26.13	25.57	26.02	27.10	27.57
53	    25.84	26.34	26.98	26.14	25.58	26.04	27.12	27.57
54	    25.84	26.36	26.99	26.15	25.58	26.05	27.12	27.56
55	    25.85	26.37	27.00	26.16	25.60	26.07	27.14	27.57
56	    25.85	26.38	27.01	26.16	25.61	26.08	27.14	27.57
57	    25.85	26.39	27.02	26.17	25.62	26.09	27.15	27.56
58	    25.86	26.40	27.04	26.17	25.63	26.11	27.16	27.56
59	    25.86	26.41	27.05	26.18	25.65	26.12	27.17	27.56
60	    25.87	26.42	27.06	26.19	25.65	26.13	27.17	27.56
61	    25.87	26.43	27.07	26.20	25.67	26.14	27.18	27.56
62	    25.88	26.44	27.08	26.21	25.68	26.16	27.19	27.56
63	    25.89	26.45	27.09	26.22	25.69	26.18	27.20	27.55
64	    25.89	26.45	27.11	26.21	25.70	26.18	27.21	27.56
65	    25.90	26.47	27.12	26.23	25.71	26.20	27.21	27.56
66	    25.91	26.48	27.13	26.23	25.72	26.22	27.22	27.55
67	    25.91	26.49	27.14	26.24	25.73	26.23	27.23	27.55
68	    25.92	26.50	27.15	26.25	25.74	26.24	27.24	27.55
69	    25.92	26.51	27.17	26.26	25.76	26.26	27.25	27.55
70	    25.93	26.51	27.18	26.26	25.76	26.27	27.26	27.55
71	    25.94	26.52	27.19	26.27	25.78	26.28	27.27	27.55
72	    25.94	26.54	27.20	26.28	25.80	26.29	27.27	27.55
73	    25.94	26.54	27.21	26.29	25.80	26.31	27.28	27.54
74	    25.95	26.55	27.22	26.30	25.81	26.32	27.29	27.55
75	    25.95	26.57	27.23	26.31	25.83	26.34	27.30	27.55
76	    25.97	26.58	27.24	26.31	25.83	26.35	27.31	27.55
77	    25.97	26.59	27.26	26.32	25.84	26.36	27.32	27.54
78	    25.97	26.59	27.27	26.34	25.86	26.38	27.32	27.55
79	    25.98	26.60	27.28	26.34	25.87	26.38	27.33	27.54
