#Abschntt in Volt     Breite in mm
(0-1)  23
(1-2)  22
(2-3)  22.5
(3-4)  23.5
(4-5)  23
(5-6)  23
(6-7)  23.5
(7-8)  24
(8-9)  23.5
(9-10) 25
